What Country or Region do you live in?,Which US State or Territory do you live in?,How old are you?,How many years of IT/Programming experience do you have?,How would you best describe the industry you currently work in?,How many people work for your company?,Which of the following best describes your occupation?,"Including yourself, how many developers are employed at your company?",How large is the team that you work on?,What other departments / roles do you interact with regularly?,,,,,,,,,,"If your company has a native mobile app, what platforms do you support?",,,,,,,"If you make a software product, how does your company make money? (You can choose more than one)",,,,,,,,"In an average week, how do you spend your time?",,,,,,,,What is your involvement in purchasing products or services for the company you work for? (You can choose more than one),,,,,,,What types of purchases are you involved in?,,,,,,"What is your budget for outside expenditures (hardware, software, consulting, etc) for 2013?",Which of the following languages or technologies have you used significantly in the past year?,,,,,,,,,,,,,,Which technologies are you excited about?,,,,,,,,,,,Which desktop operating system do you use the most?,"Please rate how important each of the following characteristics of a company/job offer are to you.    Please select a MAXIMUM of 3 items as ""Non-Negotiables"" to help us identify the most important items, those where you would never consider a company if they didn't meet them.",,,,,,,,,,,,,,,,Have you changed jobs in the last 12 months?,What best describes your career / job satisfaction?,"Including bonus, what is your annual compensation in USD?",Which technology products do you own? (You can choose more than one),,,,,,,,,,,,,,"In the last 12 months, how much money have you spent on personal technology-related purchases?",Please rate the advertising you've seen on Stack Overflow,,,,,,What advertisers do you remember seeing on Stack Overflow?,What is your current Stack Overflow reputation?,How do you use Stack Overflow?,,,
Response,Response,Response,Response,Response,Response,Response,Response,Response,System Administrators,Designers,Product Managers,Testers / Quality Assurance,Technical Support,Sales / Marketing,Consultants,Customers,Finance,Human Resources,iPhone,iPad,Android phone,Android tablet,Blackberry,Other,No mobile app,Advertising,Direct sales to consumers,Direct sales to companies,Software as a service / recurring billing,Mobile app sales,Consulting,Grants / outside fund-raising,Other,Developing new features,Refactoring / code quality,Fixing bugs,Technical support,Meetings,Learning new skills,Surfing the Internet,Commuting,I can recommend or request products,"I influence purchasing decisions, but don't have final approval",I have a discretionary budget at my disposal,I can buy anything I want without asking anyone,Check Writer,No Involvement,I'm a Seller,Hardware,Servers,Software,"User Equipment: Monitors, PCs, Laptops",Consultants,Other,Response,C,C++,C#,Java,JavaScript,jQuery,JQuery,Node.js,Objective-C,PHP,Python,Ruby,SQL,Other (please specify),Node.js,Haskell,CoffeeScript,Dart,TypeScript,C++11,WinRT,Redis,MongoDB,F#,PhoneGap,Response,High Base Compensation,Stock Options/Profit Sharing Program,Identification With the Company/Goals,Excitement About the Company's Products,Opportunity to Use/Learn New Technologies,Room for Growth of Skills/Knowledge,"High Quality Office Space (amenities, lounge space, free food, etc)",High Caliber Team (is everyone else smart/hardworking),"Positive Organization Structure (not much bureaucracy, helpful management)",Lots of Control Over Your Own Work,"Quality of Workstation (dream machine, 30inch monitors, etc)",Autonomy Over Budget/Expenditures,Office in a Desirable City/Area,Convenient Commute or Telecommute Options,40 hour work week,Limited night / weekend work,Response,Response,Response,iPhone,Android,Blackberry,Windows Phone,iPad,Android Tablet,Kindle Fire,Windows Tablet,Kindle,Nook,PS3,Xbox,Wii,Other (please specify),Response,The ads are relevant,The ads are entertaining,The ads are Informative,I click on ads that interest me,I've taken a trial/purchased a product from ads,What ads? I use an ad blocker,Open-Ended Response,Response,Read other people's questions to solve my problems,Ask questions to solve problems,Answer questions I know the answer to,Other (please specify)
Other Asia,,20-24,2/5/2013,Web Services,"Other (not working, consultant, etc.)",Front-End Web Developer,1/5/2013,1/3/2013,System Administrators,Designers,Product Managers,,,,,Customers,,,,,Android phone,Android tablet,,,,,,Direct sales to companies,,,,,,20+ hours,2-5 hours,2-5 hours,,1-2 hours,2-5 hours,20+ hours,1-2 hours,,"I influence purchasing decisions, but don't have final approval",,,,No Involvement,,,,Software,,,,"<$1,000",,,C#,Java,JavaScript,,,,,PHP,,,SQL,,,,,,,,,,MongoDB,,PhoneGap,Other,Not Very Important,Not Very Important,Not Very Important,Not Very Important,Very Important,Very Important,Very Important,Somewhat Important,Very Important,Non-Negotiable,Non-Negotiable,Don't Care,Very Important,Very Important,Non-Negotiable,Non-Negotiable,Yes,I'm not happy in my job,"<$20,000",,Android,,,,,,,,,,,,,<$100,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,none,200,Read other people's questions to solve my problems,Ask questions to solve problems,Answer questions I know the answer to,
Canada,,20-24,2/5/2013,Software Products,1/25/2013,Mobile Application Developer,1/5/2013,Just me!,System Administrators,,Product Managers,Testers / Quality Assurance,,,,,,,iPhone,iPad,Android phone,Android tablet,,,,,,Direct sales to companies,,,,,,10-20 hours,5-10 hours,5-10 hours,,1-2 hours,2-5 hours,2-5 hours,None,I can recommend or request products,,,,,,,,,Software,"User Equipment: Monitors, PCs, Laptops",,,"<$1,000",,,,Java,,,,,,,,,,,Node.js,,,,,,,,,,,Windows 7,Very Important,Somewhat Important,Somewhat Important,Very Important,Very Important,Very Important,Somewhat Important,Somewhat Important,Somewhat Important,Not Very Important,Somewhat Important,,Very Important,Somewhat Important,Somewhat Important,Somewhat Important,Yes,It's a paycheck,"$20,000 - $40,000",,Android,,,,Android Tablet,,,,,,Xbox,,,<$100,Neutral,Neutral,Agree,Agree,Strongly Disagree,Strongly Agree,,100,Read other people's questions to solve my problems,Ask questions to solve problems,Answer questions I know the answer to,
Canada,,40-50,11,Education,101-999,I don't work in tech,,Just me!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Involvement,,,,,,,,,,C++,,,,,,,,,,,,R,,,,,,,,,,,,Linux,,,,,,,,,,,,,,,,,No,Love my job,"$120,000 - $140,000",,,,,,,,,,,,,,,<$100,Neutral,Neutral,Neutral,Disagree,Strongly Disagree,,,10000,Read other people's questions to solve my problems,Ask questions to solve problems,Answer questions I know the answer to,
Australia,,20-24,2/5/2013,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States of America,New York,30-34,11,Other,3001,Other,100,9/15/2013,System Administrators,,Product Managers,Testers / Quality Assurance,Technical Support,,,,,,,,,,,,No mobile app,,,,,,,,,5-10 hours,5-10 hours,5-10 hours,5-10 hours,5-10 hours,5-10 hours,5-10 hours,5-10 hours,,,,,,No Involvement,,,,,,,,,,,,,JavaScript,jQuery,,,,,Python,,,,,Haskell,,,,,,,,,,Linux,Somewhat Important,Somewhat Important,Very Important,Very Important,Very Important,Non-Negotiable,Not Very Important,Very Important,Very Important,Very Important,Somewhat Important,Somewhat Important,Very Important,Non-Negotiable,Not Very Important,Very Important,No,I enjoy going to work,,,Android,,,,,,,Kindle,,,,,,"$501-$1,000",Neutral,Agree,Neutral,Neutral,Neutral,Neutral,StackOverflow Careers,1000,Read other people's questions to solve my problems,,Answer questions I know the answer to,
Australasia,,35-39,11,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South America,,25-29,11,Web Services,26-100,IT Staff / System Administrator,6/15/2013,1/3/2013,System Administrators,,,Testers / Quality Assurance,,Sales / Marketing,,Customers,,,,,,,,,No mobile app,,,Direct sales to companies,Software as a service / recurring billing,,,,,1-2 hours,None,1-2 hours,10-20 hours,1-2 hours,1-2 hours,5-10 hours,1-2 hours,,"I influence purchasing decisions, but don't have final approval",,,,,,,,Software,"User Equipment: Monitors, PCs, Laptops",,,Don't know,C,,,,JavaScript,jQuery,,,,PHP,Python,,SQL,,,Haskell,,,,,,,MongoDB,,,Linux,Somewhat Important,Not Very Important,Somewhat Important,Somewhat Important,Somewhat Important,Non-Negotiable,Not Very Important,Somewhat Important,Non-Negotiable,Very Important,Not Very Important,Don't Care,Somewhat Important,Non-Negotiable,,Not Very Important,No,I enjoy going to work,"$20,000 - $40,000",,Android,,,,,,,,,,,,,"$1,001-$2,000",Neutral,Neutral,Neutral,Neutral,Strongly Disagree,Strongly Agree,,500,Read other people's questions to solve my problems,,Answer questions I know the answer to,
Australasia,,40-50,11,Other,101-999,"Executive (VP of Eng, CTO, CIO, etc.)",1/5/2013,9/15/2013,,,,,,Sales / Marketing,,Customers,Finance,Human Resources,,,,,,,No mobile app,,,,,,,,,5-10 hours,1-2 hours,1-2 hours,10-20 hours,10-20 hours,None,1-2 hours,5-10 hours,I can recommend or request products,,I have a discretionary budget at my disposal,,,,,Hardware,Servers,Software,"User Equipment: Monitors, PCs, Laptops",Consultants,,100001,,,C#,,,,,,,,,,SQL,,,,,,,,,,,,,Windows 7,Very Important,Not Very Important,Very Important,Very Important,Very Important,Very Important,Somewhat Important,Very Important,Very Important,Very Important,Somewhat Important,Somewhat Important,Not Very Important,Not Very Important,Not Very Important,Not Very Important,No,I'm not happy in my job,">$140,000",iPhone,Android,,Windows Phone,iPad,Android Tablet,,,Kindle,,PS3,Xbox,Wii,,">$3,000",Agree,Agree,Agree,Agree,Agree,Strongly Disagree,There was one for a text-terminal type environment? I forget the product now but I remember clicking this one.,200,Read other people's questions to solve my problems,Ask questions to solve problems,Answer questions I know the answer to,
South America,,25-29,11,Web Services,1/25/2013,Mobile Application Developer,1/5/2013,1/3/2013,,Designers,,Testers / Quality Assurance,Technical Support,Sales / Marketing,,Customers,Finance,,iPhone,,Android phone,,,,,,,,Software as a service / recurring billing,,,,,10-20 hours,5-10 hours,,None,2-5 hours,5-10 hours,5-10 hours,1-2 hours,,,,I can buy anything I want without asking anyone,,,,Hardware,Servers,Software,"User Equipment: Monitors, PCs, Laptops",Consultants,Other,Don't know,C,C++,,Java,,,,,Objective-C,,Python,,SQL,,,,,,,C++11,,Redis,MongoDB,,,Mac OS X,,Somewhat Important,Very Important,Non-Negotiable,Very Important,Very Important,Somewhat Important,Very Important,Non-Negotiable,Somewhat Important,Somewhat Important,Don't Care,Not Very Important,Somewhat Important,Somewhat Important,Somewhat Important,No,Love my job,Rather not say,iPhone,,,,,,,,,,,,,Raspberry Pi,">$3,000",Neutral,Neutral,Neutral,Strongly Agree,Disagree,Agree,"I remember a hosting service, but cannot remember its name.",5000,Read other people's questions to solve my problems,,Answer questions I know the answer to,I do research on topics that interest me in order to find answers to other's questions.
Canada,,35-39,11,Web Services,101-999,Manager of Developers or Team Leader,31-50,15,System Administrators,,Product Managers,Testers / Quality Assurance,Technical Support,Sales / Marketing,,Customers,,,iPhone,iPad,Android phone,,Blackberry,,,,,,,,Consulting,,,,,,,,,,,I can recommend or request products,"I influence purchasing decisions, but don't have final approval",,,,,,Hardware,Servers,Software,"User Equipment: Monitors, PCs, Laptops",Consultants,,Don't know,,,C#,,JavaScript,jQuery,,,Objective-C,PHP,,Ruby,SQL,,,,,,,,,,,,,Windows 7,,,,,,,,,,,,,,,,,No,I enjoy going to work,">$140,000",,,,,iPad,,,,,,,,,,$100-$250,Neutral,Neutral,Neutral,Agree,Strongly Disagree,Neutral,,50,Read other people's questions to solve my problems,,,
United States of America,Florida,40-50,11,Education,101-999,Full-Stack Web Developer,1/5/2013,1/3/2013,System Administrators,,Product Managers,Testers / Quality Assurance,Technical Support,Sales / Marketing,Consultants,Customers,Finance,,,,,,,,No mobile app,,Direct sales to consumers,Direct sales to companies,,,,,Other,None,2-5 hours,20+ hours,2-5 hours,1-2 hours,1-2 hours,2-5 hours,None,I can recommend or request products,"I influence purchasing decisions, but don't have final approval",,,,,,,,Software,,,Other,"<$1,000",,,C#,,JavaScript,jQuery,,,,,,,SQL,,Node.js,,,,,,WinRT,,,,,Windows 7,Somewhat Important,Not Very Important,,Somewhat Important,Not Very Important,Very Important,Not Very Important,Somewhat Important,Very Important,Somewhat Important,Very Important,Somewhat Important,Not Very Important,Non-Negotiable,Non-Negotiable,Non-Negotiable,No,It's a paycheck,"$40,000 - $60,000",,,Blackberry,Windows Phone,,,Kindle Fire,,Kindle,,,Xbox,,Zune and Zune HD,"$501-$1,000",Neutral,Neutral,Neutral,Agree,Disagree,Strongly Disagree,,500,Read other people's questions to solve my problems,Ask questions to solve problems,Answer questions I know the answer to,Read other peoples questions to learn
United States of America,Washington,30-34,2/5/2013,Other,"Other (not working, consultant, etc.)",I don't work in tech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I can buy anything I want without asking anyone,,,,,,,,,Other,Don't know,C,C++,,,JavaScript,,,,,PHP,,,SQL,,,Haskell,,,,,,,,,,Linux,Somewhat Important,Not Very Important,Very Important,Somewhat Important,Somewhat Important,Non-Negotiable,Somewhat Important,Very Important,Somewhat Important,Very Important,Don't Care,Don't Care,Very Important,Very Important,Not Very Important,Not Very Important,No,I enjoy going to work,,,Android,Blackberry,,,,,,,,,,,Blackberry Tablet,"$501-$1,000",Neutral,Neutral,Neutral,Neutral,Neutral,Strongly Agree,,100,Read other people's questions to solve my problems,Ask questions to solve problems,Answer questions I know the answer to,
United States of America,Arizona,20-24,2/5/2013,Web Services,26-100,Front-End Web Developer,6/15/2013,4/8/2013,System Administrators,,,Testers / Quality Assurance,Technical Support,,,Customers,,,,,,,,,No mobile app,,,Direct sales to companies,Software as a service / recurring billing,,,,,None,None,10-20 hours,10-20 hours,1-2 hours,5-10 hours,10-20 hours,1-2 hours,,,,,,No Involvement,,,,,,,,,,,C#,Java,,,,,,,Python,,SQL,,,Haskell,,,,,,,MongoDB,,,Linux,Very Important,Not Very Important,Very Important,Very Important,Non-Negotiable,Non-Negotiable,Somewhat Important,Very Important,Very Important,Non-Negotiable,Very Important,Not Very Important,Somewhat Important,Somewhat Important,Very Important,Very Important,No,I'm not happy in my job,"$20,000 - $40,000",,,,,iPad,,,,,,,,,,$100-$250,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,stack overflow careers 2.0,200,Read other people's questions to solve my problems,,Answer questions I know the answer to,
United States of America,New York,30-34,2/5/2013,Education,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,,40-50,11,Web Services,1/25/2013,Full-Stack Web Developer,1/5/2013,1/3/2013,,Designers,,,Technical Support,Sales / Marketing,,Customers,,,iPhone,iPad,Android phone,Android tablet,,Other,,,,,,,,,,20+ hours,2-5 hours,5-10 hours,2-5 hours,1-2 hours,2-5 hours,5-10 hours,None,I can recommend or request products,,,I can buy anything I want without asking anyone,,,,,Servers,Software,,,,"$1,001 - $5,000",,,,,JavaScript,jQuery,,,,PHP,,,SQL,Classic ASP,,,,,,,,,,,,Linux,Not Very Important,Don't Care,Don't Care,Somewhat Important,Very Important,Very Important,Not Very Important,Very Important,Non-Negotiable,Somewhat Important,Not Very Important,Not Very Important,Don't Care,Very Important,Don't Care,Don't Care,No,Love my job,Rather not say,,Android,,Windows Phone,iPad,,,,,,,,,,"$2,001-$3,000",Neutral,Neutral,Neutral,Neutral,Disagree,Strongly Disagree,(chirp chirp chirp),200,Read other people's questions to solve my problems,,Answer questions I know the answer to,comment on answers
United States of America,Massachusetts,20-24,6/10/2013,Web Services,1/25/2013,Full-Stack Web Developer,1/5/2013,1/3/2013,,,Product Managers,,,Sales / Marketing,,Customers,,,iPhone,iPad,Android phone,Android tablet,Blackberry,,,,,Direct sales to companies,Software as a service / recurring billing,,,,,10-20 hours,2-5 hours,2-5 hours,2-5 hours,5-10 hours,1-2 hours,2-5 hours,1-2 hours,I can recommend or request products,"I influence purchasing decisions, but don't have final approval",,,,,,Hardware,Servers,Software,"User Equipment: Monitors, PCs, Laptops",,,"$10,001 - $25,000",,,,,JavaScript,jQuery,,,,PHP,,,SQL,,,,,,,,,,MongoDB,,,Windows 7,Somewhat Important,Not Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Somewhat Important,Non-Negotiable,Very Important,Somewhat Important,Not Very Important,Not Very Important,Somewhat Important,Not Very Important,Not Very Important,No,Love my job,"$40,000 - $60,000",,Android,,,,Android Tablet,,,,,,,,,">$3,000",Agree,Neutral,Neutral,Disagree,Disagree,Agree,,1000,Read other people's questions to solve my problems,Ask questions to solve problems,Answer questions I know the answer to,
India,,< 20,<2,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,,< 20,<2,Education,"Other (not working, consultant, etc.)",Student,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I can recommend or request products,,,,,,,Hardware,,,"User Equipment: Monitors, PCs, Laptops",,,"<$1,000",,C++,,,,,,,,,Python,,SQL,,,,,,,C++11,,,,,,Windows 7,,,,,,,,,,,,,,,,,,I wish I had a job!,Student / Unemployed,,,,,,,,,,,,,,Basic Nokia s40 Java Phone,,Neutral,Neutral,Neutral,Strongly Agree,Neutral,Strongly Agree,,Don't have an account,Read other people's questions to solve my problems,,,
India,,40-50,11,Software Products,"Other (not working, consultant, etc.)",Other,1/5/2013,1/3/2013,,,,Testers / Quality Assurance,Technical Support,,Consultants,Customers,,,,,,,,,No mobile app,,,,,,Consulting,,,5-10 hours,2-5 hours,2-5 hours,2-5 hours,None,5-10 hours,1-2 hours,None,I can recommend or request products,,,I can buy anything I want without asking anyone,,,,Hardware,Servers,,"User Equipment: Monitors, PCs, Laptops",,,"$1,001 - $5,000",C,,,,,,,,,,Python,,,haskell,,Haskell,,,,,,,,,,Linux,Somewhat Important,Not Very Important,Somewhat Important,Somewhat Important,Very Important,Very Important,Somewhat Important,Very Important,Very Important,Non-Negotiable,Very Important,Somewhat Important,Very Important,Very Important,Somewhat Important,Somewhat Important,No,Love my job,Rather not say,,Android,,,,,,,,,,,,,$100-$250,Neutral,Agree,Neutral,Neutral,Disagree,Disagree,Careers 2.0,500,Read other people's questions to solve my problems,Ask questions to solve problems,Answer questions I know the answer to,
United Kingdom,,25-29,6/10/2013,Other,"1,000-3,000",Other,100,15,,,,,,,,,,,iPhone,iPad,,,,,,,,,,,,,,1-2 hours,1-2 hours,None,None,1-2 hours,1-2 hours,1-2 hours,None,I can recommend or request products,"I influence purchasing decisions, but don't have final approval",,,,,,Hardware,,Software,"User Equipment: Monitors, PCs, Laptops",,,"$1,001 - $5,000",C,C++,,Java,JavaScript,jQuery,,,,,Python,,,,Node.js,,,,,,,,,,PhoneGap,Windows 7,Don't Care,Don't Care,Don't Care,Very Important,Very Important,Very Important,Very Important,Somewhat Important,Somewhat Important,Very Important,Very Important,Not Very Important,Somewhat Important,Somewhat Important,Not Very Important,Not Very Important,No,Love my job,"$20,000 - $40,000",,Android,,,,Android Tablet,,,Kindle,,,,,,$251-$500,Neutral,Neutral,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,,100,Read other people's questions to solve my problems,,,
United States of America,California,25-29,11,Education,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Europe,,30-34,11,Web Services,1/25/2013,Full-Stack Web Developer,1/5/2013,1/3/2013,,,,,,Sales / Marketing,,,,,,,,,,,No mobile app,,Direct sales to consumers,Direct sales to companies,,,,,Other,5-10 hours,1-2 hours,1-2 hours,10-20 hours,10-20 hours,5-10 hours,10-20 hours,1-2 hours,I can recommend or request products,"I influence purchasing decisions, but don't have final approval",,,,,,,,Software,,,Other,"$1,001 - $5,000",,,,,JavaScript,jQuery,,,,PHP,,,SQL,,,,,,,,,,,,,Windows 7,Not Very Important,Not Very Important,Somewhat Important,Non-Negotiable,Don't Care,Somewhat Important,Very Important,Don't Care,Non-Negotiable,Non-Negotiable,Very Important,Not Very Important,Somewhat Important,Somewhat Important,Don't Care,Don't Care,No,I enjoy going to work,"$20,000 - $40,000",,Android,,,,,,,,,,,,,"$2,001-$3,000",Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,"none, i dont pay attention to any kind of ads at all.",500,Read other people's questions to solve my problems,Ask questions to solve problems,Answer questions I know the answer to,
France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,,51-60,11,Software Products,1/25/2013,Desktop Software Developer,1/5/2013,1/3/2013,,,,Testers / Quality Assurance,,Sales / Marketing,,Customers,Finance,,,,,,,,,,Direct sales to consumers,Direct sales to companies,Software as a service / recurring billing,,,,,5-10 hours,2-5 hours,5-10 hours,10-20 hours,1-2 hours,2-5 hours,2-5 hours,None,,,,I can buy anything I want without asking anyone,,,,Hardware,Servers,Software,"User Equipment: Monitors, PCs, Laptops",,,"$10,001 - $25,000",C,C++,C#,,JavaScript,jQuery,,,,,,,SQL,,,,,,,,,,,,PhoneGap,Windows 7,Somewhat Important,Not Very Important,Somewhat Important,Somewhat Important,Very Important,Non-Negotiable,Not Very Important,Very Important,Non-Negotiable,Very Important,Not Very Important,Not Very Important,Don't Care,Non-Negotiable,Not Very Important,Very Important,No,Love my job,Rather not say,,Android,,,,Android Tablet,,,,,PS3,,,,"$501-$1,000",Agree,Agree,Agree,Agree,Strongly Disagree,Strongly Disagree,,Don't have an account,Read other people's questions to solve my problems,,,
United States of America,California,25-29,2/5/2013,Finance / Banking,1/25/2013,I don't work in tech,1/5/2013,Just me!,,,,,,,Consultants,,Finance,,,,,,,,No mobile app,,,,,,,,,,,,,,,,,,,,,,No Involvement,,,,,,,,,,,C#,,,,,,,,,,SQL,,Node.js,,,,,,,Redis,,F#,,Mac OS X,Somewhat Important,Not Very Important,Very Important,Somewhat Important,Very Important,Non-Negotiable,Somewhat Important,Very Important,Somewhat Important,Very Important,Somewhat Important,Don't Care,Very Important,Somewhat Important,Not Very Important,Very Important,Yes,It's a paycheck,"$40,000 - $60,000",iPhone,,,,,,,,,,,,Wii,,"$501-$1,000",Strongly Agree,Neutral,Neutral,Disagree,Strongly Disagree,Strongly Disagree,"Microsoft, Red Gate",500,Read other people's questions to solve my problems,Ask questions to solve problems,Answer questions I know the answer to,
United States of America,Colorado,40-50,11,Other,1/25/2013,Desktop Software Developer,1/5/2013,Just me!,,Designers,,,,,,,,,,,,,,,,,,,,,,,,20+ hours,2-5 hours,2-5 hours,,,10-20 hours,,2-5 hours,,"I influence purchasing decisions, but don't have final approval",,,,,,Hardware,,Software,,,Other,Don't know,C,,,,,,,,,,Python,,SQL,"sh, perl, cuda",,,,,,,,,,,,Linux,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Somewhat Important,Very Important,Very Important,Non-Negotiable,Somewhat Important,Somewhat Important,Very Important,Very Important,Very Important,Somewhat Important,No,I enjoy going to work,">$140,000",,,,,,,,,Kindle,,,,,,$100-$250,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,,10000,,,Answer questions I know the answer to,
Italy,,30-34,2/5/2013,Web Services,1/25/2013,Mobile Application Developer,1/5/2013,1/3/2013,,Designers,,,,,,,,,,,Android phone,,,,,Advertising,,,,,,Grants / outside fund-raising,,5-10 hours,5-10 hours,2-5 hours,None,,5-10 hours,5-10 hours,5-10 hours,,,,I can buy anything I want without asking anyone,,,,Hardware,Servers,Software,"User Equipment: Monitors, PCs, Laptops",,,Don't know,,,,Java,,,,,,,,,SQL,,,,,,,C++11,,,,,,Linux,Very Important,Very Important,Very Important,Very Important,Very Important,,Somewhat Important,Somewhat Important,Very Important,Very Important,Somewhat Important,Somewhat Important,Somewhat Important,Somewhat Important,Don't Care,Don't Care,No,Love my job,Rather not say,,Android,,Windows Phone,,Android Tablet,,,,,,,,,"$2,001-$3,000",,Neutral,Neutral,Agree,Strongly Disagree,Strongly Disagree,,50,Read other people's questions to solve my problems,Ask questions to solve problems,,
Australia,,30-34,11,Retail,3001,Full-Stack Web Developer,31-50,9/15/2013,System Administrators,,Product Managers,Testers / Quality Assurance,Technical Support,Sales / Marketing,Consultants,Customers,Finance,Human Resources,,,,,,,No mobile app,,,,,,,,,20+ hours,5-10 hours,2-5 hours,1-2 hours,2-5 hours,5-10 hours,5-10 hours,1-2 hours,I can recommend or request products,,,,,,,,,Software,"User Equipment: Monitors, PCs, Laptops",Consultants,,100001,,,C#,,JavaScript,jQuery,,,,,,Ruby,SQL,,,,,,,,,,,,,Windows 8,Somewhat Important,Somewhat Important,Somewhat Important,Somewhat Important,Very Important,Very Important,Very Important,Very Important,Non-Negotiable,Very Important,Very Important,Not Very Important,Very Important,Very Important,Very Important,Somewhat Important,Yes,I enjoy going to work,">$140,000",iPhone,Android,,,iPad,Android Tablet,,,Kindle,,PS3,Xbox,,,">$3,000",Agree,Agree,Neutral,Agree,Agree,Disagree,LINQ PAD,1,Read other people's questions to solve my problems,,,
